Any,Districtes,Price
2001,Ciutat Vella,1.947
2001,Eixample,2.448
2001,Sants-Montjuïc,1.867
2001,Les Corts,2.842
2001,Sarrià-Sant Gervasi,2.024
2001,Gràcia,1.884
2001,Horta-Guinardó,2.593
2001,Nou Barris,2.328
2001,Sant Andreu,1.959
2001,Sant Martí,1.692
2002,Ciutat Vella,2.411
2002,Eixample,3.005
2002,Sants-Montjuïc,2.53
2002,Les Corts,3.42
2002,Sarrià-Sant Gervasi,3.62
2002,Gràcia,2.754
2002,Horta-Guinardó,2.411
2002,Nou Barris,2.136
2002,Sant Andreu,2.322
2002,Sant Martí,2.568
2003,Ciutat Vella,3.081
2003,Eixample,3.433
2003,Sants-Montjuïc,2.812
2003,Les Corts,3.734
2003,Sarrià-Sant Gervasi,3.826
2003,Gràcia,3.311
2003,Horta-Guinardó,2.806
2003,Nou Barris,2.579
2003,Sant Andreu,2.778
2003,Sant Martí,2.979
2004,Ciutat Vella,3.492
2004,Eixample,4.065
2004,Sants-Montjuïc,3.359
2004,Les Corts,4.393
2004,Sarrià-Sant Gervasi,4.576
2004,Gràcia,3.873
2004,Horta-Guinardó,3.18
2004,Nou Barris,2.945
2004,Sant Andreu,3.263
2004,Sant Martí,3.703
2005,Ciutat Vella,4.15
2005,Eixample,4.752
2005,Sants-Montjuïc,3.772
2005,Les Corts,4.728
2005,Sarrià-Sant Gervasi,5.18
2005,Gràcia,4.438
2005,Horta-Guinardó,3.722
2005,Nou Barris,3.318
2005,Sant Andreu,3.706
2005,Sant Martí,4.095
2006,Ciutat Vella,4.563
2006,Eixample,5.072
2006,Sants-Montjuïc,4.316
2006,Les Corts,5.476
2006,Sarrià-Sant Gervasi,5.647
2006,Gràcia,4.724
2006,Horta-Guinardó,4.094
2006,Nou Barris,3.717
2006,Sant Andreu,4.215
2006,Sant Martí,4.581
2007,Ciutat Vella,4.465
2007,Eixample,4.992
2007,Sants-Montjuïc,4.281
2007,Les Corts,5.357
2007,Sarrià-Sant Gervasi,5.725
2007,Gràcia,4.607
2007,Horta-Guinardó,3.977
2007,Nou Barris,3.59
2007,Sant Andreu,3.948
2007,Sant Martí,4.378
2008,Ciutat Vella,3.947
2008,Eixample,4.495
2008,Sants-Montjuïc,3.652
2008,Les Corts,4.95
2008,Sarrià-Sant Gervasi,5.434
2008,Gràcia,4.118
2008,Horta-Guinardó,3.474
2008,Nou Barris,3.2
2008,Sant Andreu,3.438
2008,Sant Martí,3.981
2009,Ciutat Vella,3.576
2009,Eixample,4.269
2009,Sants-Montjuïc,3.427
2009,Les Corts,4.544
2009,Sarrià-Sant Gervasi,5.094
2009,Gràcia,3.895
2009,Horta-Guinardó,3.25
2009,Nou Barris,2.871
2009,Sant Andreu,3.161
2009,Sant Martí,3.71
2010,Ciutat Vella,3.43
2010,Eixample,4.214
2010,Sants-Montjuïc,3.182
2010,Les Corts,4.912
2010,Sarrià-Sant Gervasi,4.964
2010,Gràcia,3.909
2010,Horta-Guinardó,3.117
2010,Nou Barris,2.719
2010,Sant Andreu,2.994
2010,Sant Martí,3.643
2011,Ciutat Vella,2.981
2011,Eixample,3.696
2011,Sants-Montjuïc,2.767
2011,Les Corts,4.298
2011,Sarrià-Sant Gervasi,4.321
2011,Gràcia,3.375
2011,Horta-Guinardó,2.7
2011,Nou Barris,2.356
2011,Sant Andreu,2.59
2011,Sant Martí,3.203
2012,Ciutat Vella,2.695
2012,Eixample,3.327
2012,Sants-Montjuïc,2.418
2012,Les Corts,3.947
2012,Sarrià-Sant Gervasi,3.804
2012,Gràcia,2.868
2012,Horta-Guinardó,2.378
2012,Nou Barris,1.981
2012,Sant Andreu,2.314
2012,Sant Martí,2.854
2013,Ciutat Vella,3.34
2013,Eixample,3.488
2013,Sants-Montjuïc,2.463
2013,Les Corts,4.037
2013,Sarrià-Sant Gervasi,3.921
2013,Gràcia,3.024
2013,Horta-Guinardó,2.223
2013,Nou Barris,1.836
2013,Sant Andreu,2.12
2013,Sant Martí,2.957
2014,Ciutat Vella,3.355
2014,Eixample,3.64
2014,Sants-Montjuïc,2.446
2014,Les Corts,4.173
2014,Sarrià-Sant Gervasi,4.065
2014,Gràcia,2.995
2014,Horta-Guinardó,2.208
2014,Nou Barris,1.672
2014,Sant Andreu,2.12
2014,Sant Martí,3.226
2015,Ciutat Vella,3.621
2015,Eixample,3.861
2015,Sants-Montjuïc,2.618
2015,Les Corts,4.239
2015,Sarrià-Sant Gervasi,4.367
2015,Gràcia,3.195
2015,Horta-Guinardó,2.302
2015,Nou Barris,1.777
2015,Sant Andreu,2.197
2015,Sant Martí,3.53
2016,Ciutat Vella,4.191
2016,Eixample,4.61
2016,Sants-Montjuïc,2.897
2016,Les Corts,4.756
2016,Sarrià-Sant Gervasi,4.818
2016,Gràcia,3.61
2016,Horta-Guinardó,2.493
2016,Nou Barris,1.945
2016,Sant Andreu,2.328
2016,Sant Martí,3.954
2017,Ciutat Vella,4.584
2017,Eixample,4.978
2017,Sants-Montjuïc,3.617
2017,Les Corts,5.207
2017,Sarrià-Sant Gervasi,5.204
2017,Gràcia,4.157
2017,Horta-Guinardó,2.951
2017,Nou Barris,2.22
2017,Sant Andreu,2.877
2017,Sant Martí,3.984
2018,Ciutat Vella,4.434
2018,Eixample,5.005
2018,Sants-Montjuïc,3.621
2018,Les Corts,4.896
2018,Sarrià-Sant Gervasi,5.351
2018,Gràcia,4.346
2018,Horta-Guinardó,3.092
2018,Nou Barris,2.491
2018,Sant Andreu,2.926
2018,Sant Martí,4.214
2019,Ciutat Vella,4.364
2019,Eixample,4.76
2019,Sants-Montjuïc,3.62
2019,Les Corts,4.802
2019,Sarrià-Sant Gervasi,5.402
2019,Gràcia,4.469
2019,Horta-Guinardó,3.197
2019,Nou Barris,2.506
2019,Sant Andreu,3.262
2019,Sant Martí,3.862
2020,Ciutat Vella,4.32
2020,Eixample,4.632
2020,Sants-Montjuïc,3.539
2020,Les Corts,4.763
2020,Sarrià-Sant Gervasi,5.362
2020,Gràcia,4.217
2020,Horta-Guinardó,3.08
2020,Nou Barris,2.591
2020,Sant Andreu,3.261
2020,Sant Martí,3.791
2021,Ciutat Vella,4.237
2021,Eixample,4.492
2021,Sants-Montjuïc,3.438
2021,Les Corts,4.994
2021,Sarrià-Sant Gervasi,5.133
2021,Gràcia,4.186
2021,Horta-Guinardó,3.147
2021,Nou Barris,2.536
2021,Sant Andreu,3.161
2021,Sant Martí,3.541
